กรุงเทพ,Bangkok,0
ยมราช ,Yommaraj,2.17
จิตรลดา,Chit Lada,3.29
โรงพยาบาลรามาธิบดี,Ramathibodhi Hospital,3.46
สามเสน,Sam Sen,4.8
ประดิพัทธ์,Pradipat,6.37
ชุมทางบางซื่อ,Bang Sue Junction,7.47
นิคมรถไฟ กม.11,Nikhom Rotfai Khomo 11,11.01
บางเขน,Bang Khen,13
ทุ่งสองห้อง,Thung Song Hong,14.81
หลักสี่,Lak Si,17.57
การเคหะ กม.19,Kan Kheha Khomo 19,19.47
ตลาดใหม่ดอนเมือง,Talatmai Don Mueang,21.69
ดอนเมือง,Don Mueang,22.21
รังสิต,Rangsit,29.75
คลองหนึ่ง,Khlong Nueng,33.84
เชียงราก,Chiang Rak,37.47
มหาวิทยาลัยธรรมศาสตร์,Thammasat University,40.19
นวนคร,Nava Nakhon,44.12
เชียงรากน้อย,Chiang Rak Noi,46.01
คลองพุทรา,Khlong Phutsa,51.88
บางปะอิน,Bang Pa-In,58
บ้านโพ,Ban Pho,62.75
อยุธยา,Ayutthaya,71.08
บ้านม้า,Ban Ma,74.69
มาบพระจันทร์,Map Phra Chan,78.98
บ้านดอนกลาง,Ban Don Klang,82.31
พระแก้ว,Phra Kaeo,85.44
ชุมทางบ้านภาชี,Ban Phachi Junction,89.95
ดอนหญ้านาง,Don Yha Nang,93.58
หนองวิวัฒน์,Nong Wiwat,96.44
บ้านปลักแรด,Ban Plug Rad,99.16
ท่าเรือ,Tha Ruea,102.73
บ้านหมอ,Ban Mo,108.78
หนองโดน,Nong Don,116.56
บ้านกลับ,Ban Klap,122.727
บ้านป่าหวาย,Ban Pa Wai,127.44
ลพบุรี,Lop Buri,132.81
ท่าแค,Tha Khae,137.475
โคกกะเทียม,Khok Kathiam,144.25
หนองเต่า,Nong Tao,150.04
หนองทรายขาว,Nong Sai Khao,154.901
บ้านหมี่,Ban Mi,161.191
ห้วยแก้ว,Huai Kaeo,165.896
ไผ่ใหญ่,Phai Yai,170.281
โรงเรียนจันเสน,Rong Rien Chansen,172.9
จันเสน,Chansen,173.78
บ้านกกกว้าว,Ban Khok Kwaow,176.63
ช่องแค,Chong Khae,180.158
ทะเลหว้า,Thale Wa,187.37
โพนทอง,Phon Thong,188.622
บ้านตาคลี,Ban Takhli,192.472
ดงมะกุ,Dong Maku,198.777
หัวหวาย,Hua Wai,204.132
หนองโพ,Nong Pho,211.618
หัวงิ้ว,Hua Ngiu,217.291
เนินมะกอก,Noen Makok,224.867
เขาทอง,Khao Thong,235.544
นครสวรรค์,Nakhon Sawan,245.968
ปากน้ำโพ,Pak Nam Pho,250.617
บึงบอระเพ็ด,Bueng Boraphet,257.15
ทับกฤช,Thap Krit,263.68
คลองปลากด,Khlong Pla Kot,270.87
ชุมแสง,Chumsaeng,280.29
วังกร่าง,Wang Krang,290.24
บางมูลนาก,Bang Mun Nak,297.03
หอไกร,Ho Krai,303.5
ดงตะขบ,Dong Takhop,309.87
ตะพานหิน,Taphan Hin,319
ห้วยเกตุ,Huai Ket,324.91
หัวดง,Hua Dong,332.6
วังกรด,Wang Krot,339.36
พิจิตร,Phichit,346.79
ท่าฬ่อ,Tha Lo,354.26
บางกระทุ่ม,Bang Krathum,362.22
แม่เทียบ,Mae Thiap,366.21
บ้านใหม่,Ban Mai,375.31
บึงพระ,Bueng Phra,381.87
พิษณุโลก,Phitsanulok,389.28
บ้านเต็งหนาม,Ban Teng Nam,393.75
บ้านตูม,Ban Tum,400
แควน้อย,Khwae Noi,405.31
พรหมพิราม,Phrom Phiram,414.5
หนองตม,Nong Tom,423.2
บ้านบุ่ง,Ban Bung,432.75
บ้านโคน,Ban Khon,437.41
พิชัย,Phichai,447.55
ไร่อ้อย,Rai Oi,453.98
ชุมทางบ้านดารา,Ban Dara Junction,458.31
ท่าสัก,Tha Sak,461.8
ตรอน,Tron,469.86
วังกะพี้,Wang Kaphi,476.82
อุตรดิตถ์,Uttaradit,485.17
ศิลาอาสน์,Sila At,487.52
ท่าเสา,Tha Sao,489.35
บ้านด่าน,Ban Dan,497.56
ปางต้นผึ้ง,Pang Ton Phung,509.36
เขาพลึง,Khao Phlung,517.02
ห้วยไร่,Huai Rai,521.48
ไร่เกล็ดดาว,Rai Kred Dao,525.3
แม่พวก,Mae Phuak,528.22
เด่นชัย,Den Chai,533.94
ปากปาน,Pak Pan,538.43
แก่งหลวง,Kaeng Luang,546.94
ห้วยแม่ต้า,Huai Mae Ta,554.42
บ้านปิน,Ban Pin,563.86
ผาคัน,Pha Khan,578.46
ผาคอ,Pha Kho,581.22
ปางป๋วย,Pang Puai,591.07
แม่จาง,Mae Chang,600.33
แม่เมาะ,Mae Mo,609.16
ห้วยรากไม้,Huai Rak Mai,614.87
ศาลาผาลาด,Sala Pha Lat,622.2
แม่ทะ,Mae Tha,628.45
หนองวัวเฒ่า,Nong Wua Thao,637.41
นครลำปาง,Nakhon Lampang,642.293
ห้างฉัตร,Hang Chat,654.859
ปางม่วง,Pang Muang,660.984
ห้วยเรียน,Huai Rian,665.09
แม่ตานน้อย,Mae Tan Noi,671.808
ขุนตาน,Khun Tan,683.14
ทาชมภู,Tha Chomphu,691.896
ศาลาแม่ทา,Sala Mae Tha,700.686
หนองหล่ม,Nong Lom,713.018
ลำพูน,Lam Phun,729.213
ป่าเส้า,Pa Sao,734.645
สารภี,Saraphi,742.789
เชียงใหม่,Chiang Mai,751.424
