ขบวน,ประเภท,ต้นทาง,ปลายทาง,ที่นั่ง,บนอ.ป.,บนท.ป.,บนท.,บชท.ป.,บชท.,บชส.ป.,บชส.,กซข.ป.,กซข.,กซม.ป.
3,ด่วนพิเศษดีเซลราง,,,186,0,0,0,0,0,0,0,186,0,0
4,ด่วนพิเศษดีเซลราง,,,186,0,0,0,0,0,0,0,186,0,0
7,ด่วนพิเศษดีเซลราง,,,186,0,0,0,0,0,0,0,186,0,0
8,ด่วนพิเศษดีเซลราง,,,186,0,0,0,0,0,0,0,186,0,0
9,ด่วนพิเศษ,,,312,24,288,0,0,0,0,0,0,0,0
10,ด่วนพิเศษ,,,312,24,288,0,0,0,0,0,0,0,0
13,ด่วนพิเศษ,,,240,24,216,0,0,0,0,0,0,0,0
14,ด่วนพิเศษ,,,240,24,216,0,0,0,0,0,0,0,0
51,ด่วน,,,348,0,72,0,0,48,0,228,0,0,0
52,ด่วน,,,348,0,72,0,0,48,0,228,0,0,0
102,เร็ว,,,504,0,0,0,0,48,0,456,0,0,0
105,เร็ว,,,354,0,0,0,0,0,0,0,0,296,58
106,เร็ว,,,354,0,0,0,0,0,0,0,0,296,58
107,เร็ว,,,424,0,72,0,0,48,0,304,0,0,0
108,เร็ว,,,424,0,72,0,0,48,0,304,0,0,0
109,เร็ว,,,504,0,0,0,0,48,0,456,0,0,0
111,เร็ว,,,352,0,0,0,0,48,0,304,0,0,0
112,เร็ว,,,352,0,0,0,0,48,0,304,0,0,0
201,ธรรมดา,,,608,0,0,0,0,0,0,608,0,0,0
202,ธรรมดา,,,608,0,0,0,0,0,0,608,0,0,0
207,ธรรมดา,,,456,0,0,0,0,0,0,456,0,0,0
208,ธรรมดา,,,456,0,0,0,0,0,0,456,0,0,0
209,ธรรมดา,,,296,0,0,0,0,0,0,0,0,296,0
210,ธรรมดา,,,296,0,0,0,0,0,0,0,0,296,0
211,ธรรมดา,,,456,0,0,0,0,0,0,456,0,0,0
212,ธรรมดา,,,456,0,0,0,0,0,0,456,0,0,0
301,ชานเมือง,,,232,0,0,0,0,0,0,0,0,0,232
302,ชานเมือง,,,232,0,0,0,0,0,0,0,0,0,232
303,ชานเมือง,,,232,0,0,0,0,0,0,0,0,0,232
304,ชานเมือง,,,232,0,0,0,0,0,0,0,0,0,232
311,ชานเมือง,,,232,0,0,0,0,0,0,0,0,0,232
313,ชานเมือง,,,232,0,0,0,0,0,0,0,0,0,232
314,ชานเมือง,,,232,0,0,0,0,0,0,0,0,0,232
317,ชานเมือง,,,232,0,0,0,0,0,0,0,0,0,232
318,ชานเมือง,,,232,0,0,0,0,0,0,0,0,0,232
376,ชานเมือง,,,232,0,0,0,0,0,0,0,0,0,232
401,ท้องถิ่น,,,174,0,0,0,0,0,0,0,0,0,174
402,ท้องถิ่น,,,174,0,0,0,0,0,0,0,0,0,174
403,ท้องถิ่น,,,174,0,0,0,0,0,0,0,0,0,174
407,ท้องถิ่น,,,174,0,0,0,0,0,0,0,0,0,174
408,ท้องถิ่น,,,174,0,0,0,0,0,0,0,0,0,174
409,ท้องถิ่น,,,232,0,0,0,0,0,0,0,0,0,232
410,ท้องถิ่น,,,174,0,0,0,0,0,0,0,0,0,174
